24	a550962-4368120-060520-253_G19.CEL	15905	Puerto Rico	17.9243	-67.0999	Margarita East Nursery	Puerto Rico	Margarita East Nursery	2
25	a550962-4368120-060520-253_I01.CEL	15627	Belize	16.80145	-88.0827	SouthCarrieBowCaye	Belize	SouthCarrieBowCaye	1
26	a550962-4368120-060520-253_I05.CEL	15935	Puerto Rico	17.9411	-66.8686	San Cristobal Nursery	Puerto Rico	San Cristobal Nursery	2
27	a550962-4368120-060520-253_I13.CEL	15869	Puerto Rico	17.9411	-66.8686	Cayo Coral West Nursery	Puerto Rico	Cayo Coral West Nursery	2
28	a550962-4368120-060520-253_I15.CEL	15877	Puerto Rico	17.9411	-66.8686	Cayo Coral West Nursery	Puerto Rico	Cayo Coral West Nursery	2
29	a550962-4368120-060520-253_I17.CEL	15891	Puerto Rico	17.9411	-66.8686	Cayo Coral West Nursery	Puerto Rico	Cayo Coral West Nursery	2
30	a550962-4368120-060520-253_K05.CEL	15936	Puerto Rico	17.94407	-67.07786	San Cristobal Nursery	Puerto Rico	San Cristobal Nursery	2
31	a550962-4368120-060520-253_K07.CEL	15944	Puerto Rico	17.9411	-66.8686	San Cristobal Nursery	Puerto Rico	San Cristobal Nursery	2
32	a550962-4368120-060520-253_K13.CEL	15870	Puerto Rico	17.939048	-66.89222	Cayo Coral West Nursery	Puerto Rico	Cayo Coral West Nursery	2
33	a550962-4368120-060520-253_M05.CEL	15937	Puerto Rico	17.9411	-66.8686	San Cristobal Nursery	Puerto Rico	San Cristobal Nursery	2
34	a550962-4368120-060520-253_M07.CEL	15945	Puerto Rico	17.9411	-66.8686	San Cristobal Nursery	Puerto Rico	San Cristobal Nursery	2
35	a550962-4368120-060520-253_M09.CEL	15953	Puerto Rico	17.9411	-66.8686	Gilligans Reef	Puerto Rico	Gilligans Reef	2
36	a550962-4368120-060520-253_M13.CEL	15871	Puerto Rico	17.939048	-66.89222	Cayo Coral West Nursery	Puerto Rico	Cayo Coral West Nursery	2
37	a550962-4368120-060520-253_M17.CEL	15893	Puerto Rico	17.9411	-66.8686	Cayo Coral West Nursery	Puerto Rico	Cayo Coral West Nursery	2
38	a550962-4368120-060520-253_O05.CEL	15938	Puerto Rico	17.9411	-66.8686	San Cristobal Nursery	Puerto Rico	San Cristobal Nursery	2
39	a550962-4368120-060520-253_O07.CEL	15946	Puerto Rico	17.9411	-66.8686	San Cristobal Nursery	Puerto Rico	San Cristobal Nursery	2
40	a550962-4368120-060520-253_O09.CEL	15954	Puerto Rico	17.9411	-66.8686	Gilligans Reef	Puerto Rico	Gilligans Reef	2
41	a550962-4368120-060520-253_O13.CEL	15872	Puerto Rico	17.9411	-66.8686	Cayo Coral West Nursery	Puerto Rico	Cayo Coral West Nursery	2
42	a550962-4368120-060520-253_O17.CEL	15894	Puerto Rico	17.9411	-66.8686	Cayo Coral West Nursery	Puerto Rico	Cayo Coral West Nursery	2
43	a550962-4368120-060520-252_A17.CEL	1151	Florida	24.456017	-81.859633	RockKey	Florida	RockKey	1
44	a550962-4368120-060520-252_A23.CEL	2905	Florida	25.022308	-80.402375	KL4NOAA	Florida	KL4NOAA	1
45	a550962-4368120-060520-252_C11.CEL	5130	Puerto Rico	17.56493	-67.04515	San Cristobal	Puerto Rico	San Cristobal	2
